[8,8,8,8,8,8,8,8,8,8]

[-8.73667,-10.6467,-8.68667,-12.6217,-6.69,-6.71667,-10.6517,-10.6417,-12.6217,-12.6217]
[0.88,0.92,0.896667,0.928333,0.91,0.883333,0.915,0.925,0.928333,0.928333]
[46,52,50,54,48,48,52,52,54,54]
[8,8,8,8,8,8,8,8,8,8]

[-9.75833,-9.67833,-9.65333,-7.73,-11.64,-9.65167,-9.75333,-11.795,-9.75833,-9.75833]
[0.866667,0.896667,0.921667,0.878333,0.918333,0.923333,0.871667,0.846667,0.866667,0.866667]
[45,51,51,47,53,51,45,43,45,45]
[8,8,8,8,8,8,8,8,8,8]

[-8.74,-6.72667,-10.6383,-8.73833,-8.73833,-6.70667,-8.74,-10.665,-42.5583,-18.965]
[0.876667,0.873333,0.928333,0.878333,0.878333,0.893333,0.876667,0.901667,0.341667,0.735]
[46,48,52,46,46,48,46,52,12,36]
[8,8,8,8,8,8,8,8,7,8]

[-7.72667,-7.70667,-7.68,-7.685,-7.70167,-7.70833,-7.72,-7.70167,-7.72667,-7.72667]
[0.881667,0.885,0.911667,0.906667,0.89,0.883333,0.888333,0.89,0.881667,0.881667]
[47,49,49,49,49,49,47,49,47,47]
[8,8,8,8,8,8,8,8,8,8]

[-8.66833,-10.635,-8.67333,-6.735,-8.68333,-6.715,-8.68167,-8.68167,-8.66833,-8.66833]
[0.915,0.931667,0.91,0.865,0.9,0.885,0.901667,0.901667,0.915,0.915]
[50,52,50,48,50,48,50,50,50,50]
[8,8,8,8,8,8,8,8,8,8]

[-7.715,-7.66833,-7.71167,-7.70667,-7.695,-7.70167,-7.725,-7.715,-7.715,-7.715]
[0.893333,0.923333,0.88,0.885,0.896667,0.89,0.883333,0.893333,0.893333,0.893333]
[47,49,49,49,49,49,47,47,47,47]
[8,8,8,8,8,8,8,8,8,8]

[-8.72667,-6.69167,-6.725,-6.715,-8.72667,-8.68,-8.69833,-6.70167,-8.72667,-8.72667]
[0.89,0.908333,0.875,0.885,0.89,0.903333,0.885,0.898333,0.89,0.89]
[46,48,48,48,46,50,50,48,46,46]
[8,8,8,8,8,8,8,8,8,8]

[-9.65833,-7.71333,-7.7,-7.70667,-7.70667,-7.71333,-7.685,-7.71833,-9.65833,-9.65833]
[0.916667,0.878333,0.891667,0.901667,0.885,0.895,0.906667,0.89,0.916667,0.916667]
[51,49,49,47,49,47,49,47,51,51]
[8,8,8,8,8,8,8,8,8,8]

[-10.6483,-8.735,-6.69833,-8.69833,-8.67,-6.69667,-8.72333,-8.67667,-10.6483,-10.6483]
[0.918333,0.881667,0.901667,0.885,0.913333,0.903333,0.893333,0.906667,0.918333,0.918333]
[52,46,48,50,50,48,46,50,52,52]
[8,8,8,8,8,8,8,8,8,8]

[-7.68333,-7.67833,-9.68833,-7.67667,-7.67833,-7.73167,-7.69167,-9.67833,-7.68333,-7.68333]
[0.908333,0.913333,0.886667,0.915,0.913333,0.876667,0.9,0.896667,0.908333,0.908333]
[49,49,51,49,49,47,49,51,49,49]
[8,8,8,8,8,8,8,8,8,8]

[-6.7,-8.67333,-6.70667,-10.6383,-6.73167,-8.67167,-8.68333,-6.70333,-6.7,-6.7]
[0.9,0.91,0.893333,0.928333,0.868333,0.911667,0.9,0.896667,0.9,0.9]
[48,50,48,52,48,50,50,48,48,48]
[8,8,8,8,8,8,8,8,8,8]

[-7.71,-7.68333,-7.69667,-7.71333,-7.69333,-7.70333,-7.715,-7.70167,-7.71,-7.71]
[0.898333,0.908333,0.895,0.878333,0.898333,0.905,0.893333,0.906667,0.898333,0.898333]
[47,49,49,49,49,47,47,47,47,47]
[8,8,8,8,8,8,8,8,8,8]

[-6.71833,-8.70167,-6.71333,-6.67833,-6.69667,-6.69833,-6.69833,-20.9583,-24.0783,-34.3833]
[0.881667,0.881667,0.886667,0.921667,0.903333,0.901667,0.901667,0.758333,0.671667,0.983333]
[48,50,48,48,48,48,48,34,30,76]
[8,8,8,8,8,8,8,8,7,8]

[-7.70667,-7.70167,-7.67167,-7.68167,-7.68167,-7.70833,-7.72,-7.69333,-7.70667,-7.70667]
[0.885,0.89,0.92,0.91,0.91,0.9,0.888333,0.898333,0.885,0.885]
[49,49,49,49,49,47,47,49,49,49]
[8,8,8,8,8,8,8,8,8,8]

[-6.725,-6.69167,-10.6467,-6.69667,-6.705,-6.71833,-6.71667,-6.72333,-6.725,-6.725]
[0.875,0.908333,0.92,0.903333,0.895,0.881667,0.883333,0.876667,0.875,0.875]
[48,48,52,48,48,48,48,48,48,48]
[8,8,8,8,8,8,8,8,8,8]

